level,model_id,window_start,MAE,RMSE,WAPE,actual_sum,prediction_sum,n_units
store,stage2_best,2022-03-08,60.142857142857146,77.55827302284209,0.28369272237196763,1484.0,1187.0,7.0
store,stage2_best,2022-03-15,48.142857142857146,63.75287108380744,0.2897678417884781,1163.0,1484.0,7.0
store,stage2_best,2022-03-22,31.428571428571427,42.11548748043035,0.17929910350448247,1227.0,1163.0,7.0
store,stage2_best,2022-03-25,34.142857142857146,43.400131665369734,0.18441358024691357,1296.0,1169.0,7.0
store_product,calendar_ridge,2022-03-01,13.000521159311582,17.062630559722017,0.8323838315987196,1187.0,1519.5597569555641,76.0
store_product,calendar_ridge,2022-03-08,13.39607633799915,19.335796681481884,0.6860524270134335,1484.0,1514.6550315081518,76.0
store_product,calendar_ridge,2022-03-15,11.129147424548119,17.569765247601694,0.7272701670383981,1163.0,1524.9348408438436,76.0
store_product,calendar_ridge,2022-03-22,13.154882453848733,21.092874808512583,0.8148093451446647,1227.0,1519.2515412349328,76.0
store_product,calendar_ridge,2022-03-25,13.42125575602497,22.77979558760853,0.7870489486557852,1296.0,1516.462198321737,76.0
store_product,historical_mean_28,2022-03-01,6.7894736842105265,11.877181240114437,0.43470935130581295,1187.0,951.0,76.0
store_product,historical_mean_28,2022-03-08,9.049342105263158,15.593758240162362,0.4634433962264151,1484.0,979.25,76.0
store_product,historical_mean_28,2022-03-15,6.3980263157894735,12.872828125449683,0.41809974204643163,1163.0,1148.25,76.0
store_product,historical_mean_28,2022-03-22,7.190789473684211,16.013255200154127,0.4453952730236349,1227.0,1223.5,76.0
store_product,historical_mean_28,2022-03-25,7.1644736842105265,16.889199678773227,0.4201388888888889,1296.0,1254.0,76.0
store_product,lag_random_forest,2022-03-01,6.957888087289864,9.653783268953989,0.4454924133395364,1187.0,1360.111932646621,76.0
store_product,lag_random_forest,2022-03-08,10.11274902495083,14.166276666398469,0.5179035888788834,1484.0,1661.6428039858174,76.0
store_product,lag_random_forest,2022-03-15,10.31050193262844,15.774193294229278,0.6737731271537072,1163.0,1783.0464340788983,76.0
store_product,lag_random_forest,2022-03-22,8.857911402123564,16.26037361579576,0.5486562889660888,1227.0,1484.167077629845,76.0
